"full_name","Tm","Conf","Year","minutes","sos","srs","FG/40","FGA/40","FG%","FG3/40","FG3A/40","FG3%","FG2/40","FG2A/40","FG2%","FT/40","FTA/40","FT%","ORB/40","DRB/40","TRB/40","AST/40","STL/40","BLK/40","TOV/40","PF/40","PTS/40","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/40","OBPM","DBPM","BPM"
"Achor Achor","Samford","Southern",2024,749,"-3.23","6.32","10.20","17.40","0.586","1.40","3.30","0.435","8.80","14.10","0.621","6.50","9.10","0.712","3.80","6.90","10.80","2.70","1.40","3.20","3.40","5.10","28.30","30.7","0.652","0.190","0.521","11.1","18.8","15.1","13.4","1.9","8.9","13.4","29.6","3.10","1.50","4.70","0.250","5.2","1.8","7.0"
"Achor Achor","Kansas State","Big 12",2025,93,"9.67","10.89","8.60","15.90","0.541","1.30","3.90","0.333","7.30","12.00","0.607","3.40","5.20","0.667","3.00","5.20","8.20","2.20","2.20","0.00","3.90","7.70","21.90","19.2","0.597","0.243","0.324","8.6","15.0","11.8","12.5","3.2","0.0","17.4","28.4","0.10","0.20","0.30","0.129","-3.0","0.7","-2.3"
"Achor Achor","Mississippi State","SEC",2026,422,"10.11","9.11","4.60","11.10","0.419","1.20","4.00","0.310","3.40","7.10","0.480","3.50","5.00","0.698","5.40","10.20","15.60","1.10","1.20","1.20","2.40","4.50","14.00","17.7","0.520","0.359","0.453","14.4","26.3","20.4","4.9","1.7","3.1","15.0","19.2","0.60","0.70","1.30","0.122","1.1","1.5","2.5"
"Adam Miller","Illinois","Big Ten",2021,792,"11.34","23.25","4.50","11.60","0.391","2.60","7.70","0.340","1.90","3.90","0.494","1.30","1.90","0.684","0.50","3.90","4.30","1.30","0.90","0.10","1.70","3.60","13.00","9.5","0.520","0.665","0.165","1.4","10.4","6.2","5.2","1.3","0.1","11.7","17.5","0.80","1.20","2.00","0.100","0.8","2.4","3.2"
"Adam Miller","Louisiana State","SEC",2023,1088,"6.44","3.32","4.30","12.90","0.336","2.80","8.70","0.316","1.60","4.20","0.377","2.50","3.00","0.829","0.30","2.40","2.80","2.00","1.00","0.20","2.50","2.20","13.90","9.1","0.486","0.675","0.234","0.9","7.3","4.0","10.7","1.5","0.7","15.0","21.6","0.40","0.50","0.90","0.034","-0.6","-0.8","-1.4"
"AJ Storr","St. John's (NY)","Big East",2023,695,"6.49","8.64","6.10","14.00","0.434","2.20","5.40","0.404","3.90","8.60","0.453","2.40","3.20","0.750","0.60","3.10","3.70","1.60","0.70","0.30","2.10","3.10","16.80","12.2","0.540","0.385","0.230","1.5","8.5","4.9","6.8","1.0","0.9","11.7","20.3","1.00","0.70","1.60","0.093","0.9","0.3","1.2"
"AJ Storr","Wisconsin","Big Ten",2024,1038,"11.35","16.01","8.30","19.20","0.434","1.80","5.80","0.320","6.50","13.40","0.483","4.80","5.90","0.812","1.50","3.90","5.50","1.20","0.80","0.20","2.20","1.60","23.30","19.7","0.530","0.301","0.309","4.7","12.5","8.5","6.9","1.3","0.5","9.1","31.9","2.20","1.00","3.20","0.124","5.1","-0.2","4.9"
"AJ Storr","Kansas","Big 12",2025,534,"13.56","20.09","5.70","14.80","0.384","1.70","5.90","0.291","4.00","8.90","0.445","2.40","3.50","0.681","1.00","3.30","4.30","1.80","0.70","0.40","2.20","4.00","15.50","8.6","0.470","0.399","0.237","2.8","8.6","5.9","7.8","1.1","1.0","12.0","23.5","0.00","0.70","0.70","0.055","-2.1","1.4","-0.7"
"AJ Storr","Mississippi","SEC",2026,634,"9.07","9.43","8.10","18.30","0.441","2.10","5.40","0.388","6.00","12.90","0.463","4.70","6.30","0.750","1.20","4.20","5.40","3.00","1.40","0.20","2.10","3.70","23.00","19.5","0.539","0.293","0.345","3.4","11.9","7.6","17.1","2.1","0.6","8.9","29.9","1.30","0.70","2.00","0.124","3.9","1.0","4.9"
"AK Okereke","Cornell","Ivy",2023,6,"-2.41","0.63","6.70","13.30","0.500","0.00","6.70","0.000","6.70","6.70","1.000","0.00","0.00",NULL,"6.70","6.70","13.30","6.70","0.00","0.00","0.00","0.00","13.30","24.3","0.500","0.500","0.000","19.0","19.9","19.5","29.8","0.0","0.0","0.0","16.2","0.00","0.00","0.00","0.205","15.8","5.8","21.6"
